Plant,LaneNumber,SampleNumber,Stress,SampleType,SPC,SPCgrowthlvl,CVTA,CVTAgrowthlvl,PPC
1,1,1,yes,milk,pos,heavy,neg,,no
1,1,2,yes,milk,pos,heavy,neg,,no
1,1,3,yes,milk,pos,heavy,neg,,no
1,1,4,yes,milk,pos,heavy,neg,,no
1,1,5,yes,milk,pos,heavy,neg,,no
1,1,6,yes,milk,pos,heavy,neg,,no
1,2,1,yes,milk,pos,med,neg,,no
1,2,2,yes,milk,pos,heavy,neg,,no
1,2,3,yes,milk,pos,heavy,neg,,no
1,2,4,yes,milk,pos,heavy,neg,,no
1,2,5,yes,milk,pos,heavy,neg,,no
1,2,6,yes,milk,pos,med,neg,,no
1,3,1,yes,milk,pos,med,neg,,no
1,3,2,yes,milk,pos,heavy,neg,,no
1,3,3,yes,milk,pos,heavy,neg,,no
1,3,4,yes,milk,pos,heavy,neg,,no
1,3,5,yes,milk,pos,heavy,pos,heavy,yes
1,3,6,yes,milk,pos,heavy,pos,low,yes
1,4,1,yes,milk,pos,heavy,neg,,no
1,4,2,yes,milk,pos,heavy,neg,,no
1,4,3,yes,milk,pos,med,neg,,no
1,4,4,yes,milk,pos,heavy,neg,,no
1,4,5,yes,milk,pos,heavy,neg,,no
1,4,6,yes,milk,pos,heavy,neg,,no
1,1,1,yes,sponge,pos,heavy,pos,heavy,yes
1,1,2,yes,sponge,pos,heavy,pos,heavy,yes
1,1,3,yes,sponge,pos,heavy,pos,heavy,yes
1,1,4,yes,sponge,pos,heavy,pos,med,yes
1,1,5,yes,sponge,pos,heavy,pos,heavy,yes
1,1,6,yes,sponge,pos,med,pos,heavy,yes
1,2,1,yes,sponge,pos,heavy,pos,heavy,yes
1,2,2,yes,sponge,pos,heavy,pos,heavy,yes
1,2,3,yes,sponge,pos,med,pos,med,yes
1,2,4,yes,sponge,pos,heavy,pos,heavy,yes
1,2,5,yes,sponge,pos,heavy,pos,heavy,yes
1,2,6,yes,sponge,pos,med,pos,med,yes
1,3,1,yes,sponge,pos,med,pos,med,yes
1,3,2,yes,sponge,pos,low,pos,low,yes
1,3,3,yes,sponge,pos,heavy,pos,heavy,yes
1,3,4,yes,sponge,pos,heavy,pos,heavy,yes
1,3,5,yes,sponge,pos,med,pos,med,yes
1,3,6,yes,sponge,pos,med,pos,med,yes
1,4,1,yes,sponge,pos,heavy,pos,heavy,yes
1,4,2,yes,sponge,pos,heavy,pos,heavy,yes
1,4,3,yes,sponge,pos,heavy,pos,heavy,yes
1,4,4,yes,sponge,pos,heavy,pos,heavy,yes
1,4,5,yes,sponge,pos,heavy,pos,heavy,yes
1,4,6,yes,sponge,pos,heavy,pos,heavy,yes
1,1,1,yes,carton,pos,low,neg,,no
1,1,2,yes,carton,neg,,neg,,no
1,1,3,yes,carton,neg,,neg,,no
1,1,4,yes,carton,neg,,neg,,no
1,1,5,yes,carton,neg,,neg,,no
1,1,6,yes,carton,neg,,neg,,no
1,2,1,yes,carton,neg,,neg,,no
1,2,2,yes,carton,neg,,neg,,no
1,2,3,yes,carton,pos,low,neg,,no
1,2,4,yes,carton,neg,,neg,,no
1,2,5,yes,carton,neg,,neg,,no
1,2,6,yes,carton,neg,,neg,,no
1,3,1,yes,carton,neg,,neg,,no
1,3,2,yes,carton,neg,,neg,,no
1,3,3,yes,carton,neg,,neg,,no
1,3,4,yes,carton,neg,,neg,,no
1,3,5,yes,carton,neg,,neg,,no
1,3,6,yes,carton,neg,,neg,,no
1,4,1,yes,carton,neg,,neg,,no
1,4,2,yes,carton,neg,,neg,,no
1,4,3,yes,carton,pos,med,pos,med,yes
1,4,4,yes,carton,neg,,neg,,no
1,4,5,yes,carton,pos,low,neg,,no
1,4,6,yes,carton,neg,,neg,,no
1,,,yes,mandrelhub,pos,heavy,pos,heavy,yes
1,,,yes,mandrelhub,pos,low,pos,low,yes
2,1,1,yes,milk,pos,heavy,pos,low,yes
2,1,2,yes,milk,pos,heavy,pos,low,yes
2,1,3,yes,milk,pos,heavy,neg,,no
2,1,4,yes,milk,pos,heavy,neg,,no
2,1,5,yes,milk,pos,heavy,pos,low,yes
2,1,6,yes,milk,pos,heavy,pos,low,yes
2,2,1,yes,milk,pos,heavy,pos,low,yes
2,2,2,yes,milk,pos,heavy,pos,low,yes
2,2,3,yes,milk,pos,heavy,neg,,no
2,2,4,yes,milk,pos,heavy,pos,low,yes
2,2,5,yes,milk,pos,heavy,pos,low,yes
2,2,6,yes,milk,pos,heavy,pos,low,yes
2,3,1,yes,milk,pos,heavy,neg,,no
2,3,2,yes,milk,pos,heavy,pos,low,yes
2,3,3,yes,milk,pos,heavy,neg,,no
2,3,4,yes,milk,pos,heavy,pos,low,yes
2,3,5,yes,milk,pos,heavy,pos,low,yes
2,3,6,yes,milk,pos,heavy,pos,low,yes
2,4,1,yes,milk,pos,heavy,neg,,no
2,4,2,yes,milk,pos,heavy,pos,low,yes
2,4,3,yes,milk,pos,heavy,pos,low,yes
2,4,4,yes,milk,pos,heavy,pos,low,yes
2,4,5,yes,milk,pos,heavy,pos,low,yes
2,4,6,yes,milk,pos,heavy,pos,low,yes
2,1,1,yes,sponge,pos,low,pos,low,yes
2,1,2,yes,sponge,pos,low,neg,,no
2,1,3,yes,sponge,pos,heavy,pos,med,yes
2,1,4,yes,sponge,pos,med,pos,med,yes
2,1,5,yes,sponge,pos,med,pos,low,yes
2,1,6,yes,sponge,pos,med,neg,,no
2,2,1,yes,sponge,pos,low,neg,,no
2,2,2,yes,sponge,pos,heavy,pos,low,yes
2,2,3,yes,sponge,pos,heavy,neg,,no
2,2,4,yes,sponge,pos,low,neg,,no
2,2,5,yes,sponge,pos,heavy,pos,med,yes
2,2,6,yes,sponge,pos,low,neg,,no
2,3,1,yes,sponge,pos,med,pos,low,yes
2,3,2,yes,sponge,pos,heavy,neg,,no
2,3,3,yes,sponge,pos,heavy,neg,,no
2,3,4,yes,sponge,pos,heavy,neg,,no
2,3,5,yes,sponge,pos,heavy,pos,low,yes
2,3,6,yes,sponge,pos,low,pos,low,yes
2,4,1,yes,sponge,pos,heavy,pos,heavy,yes
2,4,2,yes,sponge,pos,heavy,pos,med,yes
2,4,3,yes,sponge,pos,heavy,pos,med,yes
2,4,4,yes,sponge,pos,low,pos,low,yes
2,4,5,yes,sponge,pos,low,neg,,no
2,4,6,yes,sponge,pos,low,neg,,no
2,1,1,yes,carton,pos,low,neg,,no
2,1,2,yes,carton,neg,,neg,,no
2,1,3,yes,carton,pos,low,neg,,no
2,1,4,yes,carton,neg,,neg,,no
2,1,5,yes,carton,pos,low,neg,,no
2,1,6,yes,carton,pos,med,pos,med,yes
2,2,1,yes,carton,neg,,neg,,no
2,2,2,yes,carton,neg,,neg,,no
2,2,3,yes,carton,neg,,neg,,no
2,2,4,yes,carton,pos,med,pos,med,yes
2,2,5,yes,carton,neg,,neg,,no
2,2,6,yes,carton,pos,low,neg,,no
2,3,1,yes,carton,neg,,neg,,no
2,3,2,yes,carton,neg,,neg,,no
2,3,3,yes,carton,neg,,neg,,no
2,3,4,yes,carton,neg,,neg,,no
2,3,5,yes,carton,neg,,neg,,no
2,3,6,yes,carton,neg,,neg,,no
2,4,1,yes,carton,pos,low,neg,,no
2,4,2,yes,carton,neg,,neg,,no
2,4,3,yes,carton,pos,med,neg,,no
2,4,4,yes,carton,neg,,neg,,no
2,4,5,yes,carton,neg,,neg,,no
2,4,6,yes,carton,neg,,neg,,no
2,,,yes,mandrelhub,pos,low,neg,,no
3,1,1,yes,milk,pos,heavy,pos,heavy,yes
3,1,2,yes,milk,pos,heavy,pos,heavy,yes
3,1,3,yes,milk,pos,heavy,pos,heavy,yes
3,1,4,yes,milk,pos,heavy,pos,heavy,yes
3,1,5,yes,milk,pos,heavy,pos,heavy,yes
3,1,6,yes,milk,pos,heavy,pos,heavy,yes
3,2,1,yes,milk,pos,heavy,pos,heavy,yes
3,2,2,yes,milk,pos,heavy,pos,heavy,yes
3,2,3,yes,milk,pos,heavy,pos,heavy,yes
3,2,4,yes,milk,pos,heavy,pos,heavy,yes
3,2,5,yes,milk,pos,heavy,pos,heavy,yes
3,2,6,yes,milk,pos,heavy,pos,heavy,yes
3,3,1,yes,milk,pos,heavy,pos,heavy,yes
3,3,2,yes,milk,pos,heavy,pos,heavy,yes
3,3,3,yes,milk,pos,heavy,pos,heavy,yes
3,3,4,yes,milk,pos,heavy,pos,heavy,yes
3,3,5,yes,milk,pos,heavy,pos,heavy,yes
3,3,6,yes,milk,pos,heavy,pos,heavy,yes
3,4,1,yes,milk,pos,heavy,pos,heavy,yes
3,4,2,yes,milk,pos,heavy,pos,heavy,yes
3,4,3,yes,milk,pos,heavy,pos,heavy,yes
3,4,4,yes,milk,pos,heavy,pos,heavy,yes
3,4,5,yes,milk,pos,heavy,pos,heavy,yes
