PlantNumber,ProcessingDate,TimePoint,CodeDate,Lane,Treatment,MilkType,APC,CVTA
3,,,,,,control,BDL,BDL
3,,,,,,platercontrol,BDL,BDL
2,,,,,,control,BDL,BDL
2,,,,,,platercontrol,BDL,BDL
4,,,,,,control,BDL,BDL
4,,,,,,platercontrol,BDL,
1,,,,,,control,BDL,BDL
1,,,,,,platercontrol,BDL,
1,4/7/2022,Beginning,4/21/2022,1,Control,Fat Free White,TNTC,TNTC
1,4/7/2022,Beginning,4/21/2022,1,Control,Fat Free White,TNTC,TNTC
1,4/7/2022,Beginning,4/21/2022,1,Control,Fat Free White,4.30E+04,1.02E+02
1,4/7/2022,Beginning,4/21/2022,1,Control,Fat Free White,TNTC,TNTC
1,4/7/2022,Beginning,4/21/2022,1,Control,Fat Free White,8.18E+01,BDL
1,4/7/2022,Beginning,4/21/2022,1,Control,Fat Free White,1.23E+02,2.04E+01
1,4/7/2022,Beginning,4/21/2022,1,Control,Fat Free White,1.96E+03,BDL
1,4/7/2022,Beginning,4/21/2022,1,Control,Fat Free White,TNTC,TNTC
1,4/7/2022,Beginning,4/21/2022,1,Control,Fat Free White,5.92E+04,TNTC
1,4/7/2022,Beginning,4/21/2022,1,Control,Fat Free White,5.94E+03,5.81E+03
1,4/7/2022,Beginning,4/21/2022,1,Control,Fat Free White,1.35E+04,7.62E+03
1,4/7/2022,Beginning,4/21/2022,1,Control,Fat Free White,TNTC,TNTC
1,4/7/2022,Beginning,4/21/2022,1,Control,Fat Free White,2.04E+02,BDL
1,4/7/2022,Beginning,4/21/2022,1,Control,Fat Free White,2.66E+02,BDL
1,4/7/2022,Beginning,4/21/2022,1,Control,Fat Free White,1.74E+03,2.25E+03
1,4/7/2022,Beginning,4/21/2022,1,Control,Fat Free White,TNTC,BDL
1,4/7/2022,Beginning,4/21/2022,1,Control,Fat Free White,1.84E+02,BDL
1,4/7/2022,Beginning,4/21/2022,1,Control,Fat Free White,9.50E+03,6.63E+03
1,4/7/2022,Beginning,4/21/2022,1,Control,Fat Free White,TNTC,TNTC
1,4/7/2022,Beginning,4/21/2022,1,Control,Fat Free White,5.64E+04,1.08E+05
1,4/7/2022,Beginning,4/21/2022,1,Control,Fat Free White,5.52E+02,3.27E+02
1,4/7/2022,Beginning,4/21/2022,1,Control,Fat Free White,TNTC,TNTC
1,4/7/2022,Beginning,4/21/2022,1,Control,Fat Free White,8.58E+02,8.99E+02
1,4/7/2022,Beginning,4/21/2022,1,Control,Fat Free White,7.15E+02,1.74E+03
1,4/7/2022,Beginning,4/21/2022,1,Control,Fat Free White,TNTC,TNTC
