FSL,Lane,Intervention,FacilityNumber,SampleType,MilkTypeSpec,MilkType,TimePoint,Stress,PlateType,Class,Order,Family,Genus,Species
FSL L8-1177,1,,4,Milk,,,,yes,SPC,,,,Lysinibacillus,sp.
FSL L8-1178,1,,4,Milk,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1179,1,,4,Milk,,,,yes,SPC,,,,Lysinibacillus,sp.
FSL L8-1180,1,,4,Milk,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1181,1,,4,Milk,,,,yes,SPC,Bacilli,,,,
FSL L8-1182,1,,4,Milk,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1183,1,,4,Milk,,,,yes,SPC,,,,Lysinibacillus,sp.
FSL L8-1184,1,,4,Milk,,,,yes,SPC,,,,Lysinibacillus,sp.
FSL L8-1185,1,,4,Milk,,,,yes,SPC,Bacilli,,,,
FSL L8-1186,1,,4,Milk,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1187,1,,4,Milk,,,,yes,SPC,,,,Paenibacillus,sp.
FSL L8-1188,1,,4,Milk,,,,yes,SPC,,,,,
FSL L8-1189,1,,4,Milk,,,,yes,SPC,,,,Lysinibacillus,sp.
FSL L8-1190,1,,4,Milk,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1191,1,,4,Milk,,,,yes,CVTA,,,,Pseudomonas,sp.
FSL L8-1192,1,,4,Milk,,,,yes,SPC,Bacilli,,,,
FSL L8-1193,1,,4,Milk,,,,yes,SPC,Bacilli,,,,
FSL L8-1194,1,,4,Milk,,,,yes,SPC,Bacilli,,,,
FSL L8-1195,1,,4,Sponge,,,,yes,CVTA,,,,Pseudomonas,sp.
FSL L8-1196,1,,4,Sponge,,,,yes,SPC,,,,Pseudomonas,sp.
FSL L8-1197,1,,4,Sponge,,,,no,SPC,,,,Paenibacillus,sp.
FSL L8-1198,1,,4,Carton,,,,yes,CVTA,,,Moraxellaceae,,
FSL L8-1199,2,,4,Milk,,,,yes,SPC,Bacilli,,,,
FSL L8-1200,2,,4,Milk,,,,yes,SPC,,,,Lysinibacillus,sp.
FSL L8-1201,2,,4,Milk,,,,yes,SPC,,,Bacillaceae,,
FSL L8-1202,2,,4,Milk,,,,yes,SPC,,,,Paenibacillus,sp.
FSL L8-1203,2,,4,Milk,,,,yes,SPC,,,,Lysinibacillus,sp.
FSL L8-1204,2,,4,Milk,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1205,2,,4,Milk,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1206,2,,4,Milk,,,,yes,SPC,Bacilli,,,,
FSL L8-1207,2,,4,Milk,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1208,2,,4,Milk,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1209,2,,4,Milk,,,,yes,SPC,,,,Bacillus,sp.
FSL L8-1210,2,,4,Milk,,,,yes,SPC,,,,Lysinibacillus,sp.
FSL L8-1211,2,,4,Milk,,,,yes,SPC,Bacilli,,,,
FSL L8-1212,2,,4,Milk,,,,yes,SPC,,,,Microbacterium,sp.
FSL L8-1213,2,,4,Milk,,,,yes,SPC,,,,Paenibacillus,sp.
FSL L8-1214,2,,4,Milk,,,,yes,SPC,,,,Lysinibacillus,sp.
FSL L8-1215,2,,4,Milk,,,,yes,SPC,,,,Microbacterium,sp.
FSL L8-1216,2,,4,Sponge,,,,yes,CVTA,,,,Pseudomonas,sp.
FSL L8-1217,2,,4,Sponge,,,,yes,SPC,,,,Pseudomonas,sp.
FSL L8-1218,2,,4,Sponge,,,,yes,SPC,,,Bacillaceae,,
FSL L8-1219,2,,4,Sponge,,,,yes,SPC,,,Bacillaceae,,
FSL L8-1220,2,,4,Sponge,,,,yes,CVTA,,,,Pseudomonas,sp.
FSL L8-1221,2,,4,Sponge,,,,yes,SPC,,,Bacillaceae,,
FSL L8-1222,2,,4,Sponge,,,,yes,SPC,,,,Pseudomonas,sp.
FSL L8-1223,2,,4,Sponge,,,,yes,SPC,,,,,
FSL L8-1224,2,,4,Sponge,,,,yes,SPC,,,,Staphylococcus,sp.
