plantName,product,milkType,size,dateProcessed,year,dilution,greaterThanLessThan,SPC,countability,flavorScore
US Dairy Plant I,Core,Whole,½ Gallon,1/7/2013,2013,,,390,E,7.9
US Dairy Plant Q,Core,Whole,½ Gallon,1/7/2013,2013,,,2900000000,,3.8
US Dairy Plant AI,Core,Whole,qt,1/8/2013,2013,,,220000,,7.8
US Dairy Plant D,Core,Whole,½ Gallon,1/9/2013,2013,,,940000000,,0
US Dairy Plant W,Core,Whole,½ Gallon,2/4/2013,2013,,,330000000,,8.5
US Dairy Plant F,Core,Whole,½ Gallon,2/4/2013,2013,,,750000000,,6.6
US Dairy Plant BL,Core,Whole,½ Gallon,2/25/2013,2013,,,21000,,8.5
US Dairy Plant BK,Core,Whole,½ Gallon,2/25/2013,2013,,,9400000,,7.8
US Dairy Plant XXXX,Core,Whole,½ Gallon,2/26/2013,2013,,,3000,,8.6
US Dairy Plant AE,Core,Whole,½ Gallon,3/18/2013,2013,,,220,E,8
US Dairy Plant BJ,Core,Whole,½ Gallon,3/18/2013,2013,,,520000,,8.3
US Dairy Plant AF,Core,Whole,½ Gallon,3/18/2013,2013,,,130000,,8.7
US Dairy Plant AD,Core,Whole,½ Gallon,3/18/2013,2013,,,12000,,8.7
US Dairy Plant BS,Core,Whole,½ Gallon,3/18/2013,2013,,,22000,,8.5
US Dairy Plant AE,Single Serve,Whole,½ Pint,3/18/2013,2013,,,200,E,8.4
US Dairy Plant N,Core,Whole,½ Gallon,4/22/2013,2013,,,180,E,8.6
US Dairy Plant B,Core,Whole,½ Gallon,4/23/2013,2013,,,26000,,8.5
US Dairy Plant AH,Core,Whole,½ Gallon,4/22/2013,2013,,,1400000000,,1.5
US Dairy Plant Z,Core,Whole,½ Gallon,4/22/2013,2013,,,48000,,8.7
US Dairy Plant A,Core,Whole,½ Gallon,4/23/2013,2013,,,17000,,8.5
US Dairy Plant Z,Single Serve,Whole,½ Pint,4/23/2013,2013,,,130000,,8.6
US Dairy Plant AL,Core,Whole,½ Gallon,8/10/2013,2013,2,,17000,E,9.1
US Dairy Plant I,Core,Whole,½ Gallon,8/12/2013,2013,2,,250000,,8.5
US Dairy Plant Q,Core,Whole,½ Gallon,8/10/2013,2013,0,,190,E,9
US Dairy Plant D,Core,Whole,½ Gallon,8/14/2013,2013,6,,29000000,E,1.7
US Dairy Plant F,Core,Whole,½ Gallon,9/9/2013,2013,0,,26,E,8.6
US Dairy Plant N,Core,Whole,½ Gallon,10/7/2013,2013,2,,670,,8.9
US Dairy Plant BK,Core,Whole,½ Gallon,10/7/2013,2013,2,,31,E,8.9
US Dairy Plant BL,Core,Whole,½ Gallon,10/7/2013,2013,0,,220,E,9.1
US Dairy Plant B,Core,Whole,½ Gallon,10/7/2013,2013,0,,900,S,8.6
US Dairy Plant XXXX,Core,Whole,½ Gallon,10/7/2013,2013,5,,220000000,,0
US Dairy Plant AH,Core,Whole,½ Gallon,10/28/2013,2013,0,,220000,,8.6
US Dairy Plant Z,Core,Whole,½ Gallon,10/26/2013,2013,2,,1400,,8.9
US Dairy Plant A,Core,Whole,½ Gallon,10/28/2013,2013,0,,330,E,9.4
US Dairy Plant U,Core,Whole,½ Gallon,10/29/2013,2013,0,,10,E,9.3
US Dairy Plant AE,Core,Whole,½ Gallon,1/6/2014,2014,0,,790,,8.9
US Dairy Plant AE,Single Serve,Whole,½ Pint,1/6/2014,2014,0,,3400,,8.8
US Dairy Plant BJ,Core,Whole,½ Gallon,1/6/2014,2014,0,,9000,,9
US Dairy Plant AF,Core,Whole,½ Gallon,1/6/2014,2014,0,,1900,,9
US Dairy Plant AD,Core,Whole,½ Gallon,1/6/2014,2014,0,,370,E,9.1
US Dairy Plant BS,Core,Whole,½ Gallon,1/6/2014,2014,0,,180000,,8.5
US Dairy Plant AL,Core,Whole,Gallon,2/3/2014,2014,6,,4100000000,,0
US Dairy Plant I,Core,Whole,½ Gallon,2/3/2014,2014,0,,3300,,8.2
US Dairy Plant Q,Core,Whole,½ Gallon,2/1/2014,2014,0,,130,E,8.8
US Dairy Plant AI,Core,Whole,qt,2/4/2014,2014,6,,1400000000,,2.3
US Dairy Plant D,Core,Whole,½ Gallon,2/5/2014,2014,4,,280000000,,0
US Dairy Plant W,Core,Whole,½ Gallon,3/10/2014,2014,3,,190000000,,8.2
US Dairy Plant F,Core,Whole,½ Gallon,3/10/2014,2014,0,,640,,8.6
US Dairy Plant N,Core,Whole,½ Gallon,4/14/2014,2014,0,,290,E,9.1
US Dairy Plant BK,Core,Whole,½ Gallon,4/14/2014,2014,0,,20,E,9.1
US Dairy Plant BL,Core,Whole,½ Gallon,4/14/2014,2014,6,,7500000000,,0
US Dairy Plant B,Core,Whole,½ Gallon,4/14/2014,2014,0,,9300,,9.1
US Dairy Plant XXXX,Core,Whole,½ Gallon,4/14/2014,2014,0,,960,,8.8
US Dairy Plant AH,Core,Whole,½ Gallon,5/19/2014,2014,2,,450000,,8.6
US Dairy Plant A,Core,Whole,½ Gallon,5/19/2014,2014,0,,310,E,8.7
US Dairy Plant U,Core,Whole,½ Gallon,5/20/2014,2014,0,,17000,,9
US Dairy Plant AF,Core,Whole,½ Gallon,7/7/2014,2014,,,5900,,9.2
US Dairy Plant AD,Core,Whole,½ Gallon,7/7/2014,2014,,,1400,,9.1
US Dairy Plant AL,Core,Whole,½ Gallon,8/16/2014,2014,0,,130,E,8.6
US Dairy Plant I,Core,Whole,½ Gallon,8/18/2014,2014,0,,610,,8.5
US Dairy Plant Q,Core,Whole,½ Gallon,8/18/2014,2014,0,,590,,8.5
US Dairy Plant AI,Core,Whole,qt,8/19/2014,2014,4,,13000000,,8.5
US Dairy Plant N,Core,Whole,½ Gallon,9/8/2014,2014,0,,20,E,8.9
US Dairy Plant BK,Core,Whole,½ Gallon,9/8/2014,2014,0,,31,E,9.1
US Dairy Plant BL,Core,Whole,½ Gallon,9/8/2014,2014,0,,570,,8.9
US Dairy Plant B,Core,Whole,½ Gallon,9/8/2014,2014,0,,2700,,8.8
US Dairy Plant W,Core,Whole,½ Gallon,10/7/2014,2014,4,,96000000,,6.4
US Dairy Plant F,Core,Whole,½ Gallon,10/6/2014,2014,0,,33000,,9.1
US Dairy Plant AH,Core,Whole,½ Gallon,10/27/2014,2014,0,,81000,,7.2
US Dairy Plant A,Core,Whole,½ Gallon,10/28/2014,2014,0,,80000,,8.9
US Dairy Plant U,Core,Whole,½ Gallon,10/28/2014,2014,0,,120,E,9
US Dairy Plant D,Core,Whole,½ Gallon,10/29/2014,2014,5,,1800000000,,0
US Dairy Plant AE,Core,Whole,½ Gallon,1/3/2015,2015,0,,530,,9.4
US Dairy Plant BJ,Core,Whole,½ Gallon,1/5/2015,2015,2,,1900000,,9.1
